Date,Store,Region,Category,Product,Revenue,Quantity,Cost
2022-11-07,Store D,Central,Furniture,Desk,2250.0,3,1440.77
2022-03-28,Store B,West,Electronics,Keyboard,400.0,5,263.17
2022-08-01,Store D,Central,Furniture,Table,2000.0,5,1251.67
2023-05-01,Store A,East,Electronics,Monitor,1200.0,4,765.22
2023-02-20,Store B,West,Electronics,Keyboard,320.0,4,222.27
2022-07-11,Store A,East,Electronics,Keyboard,400.0,5,269.69
2023-03-13,Store B,West,Electronics,Mouse,300.0,2,209.34
2023-10-02,Store D,Central,Furniture,Table,1600.0,4,978.24
2023-12-04,Store B,West,Furniture,Shelf,600.0,1,384.26
2023-04-24,Store A,East,Office Supplies,Stapler,40.0,1,
2023-04-24,  Store D  ,Central,Office Supplies ,Paper,50.0,1,34.7
2023-09-04,Store D,Central,Office Supplies,Pen,50.0,5,32.36
2022-03-28,Store A,East,Furniture,Shelf,0.0,2,729.36
2022-04-11,Store A,East,Electronics,Monitor,1500.0,5,987.32
2022-03-28,Store A,East,Office Supplies,Paper,50.0,1,33.26
2022-01-10,Store A,East,Office Supplies,Pen,40.0,4,24.77
2022-02-07,Store B,West,Office Supplies,Pen,25.0,1,15.75
2022-11-28,Store C,South,Electronics,Keyboard,400.0,5,252.67
2023-12-25,Store D,Central,Electronics,Keyboard,320.0,4,218.9
2022-12-19,Store A,East,Office Supplies,Pen,50.0,2,30.93
2022-01-31,Store D,Central,Electronics,Laptop,5000.0,3,3024.04
2022-05-23,Store B,West,Office Supplies,Paper,100.0,4,61.96
2022-11-28,Store A,East,Electronics,Keyboard,266.67,2,171.48
2022-04-18,Store B,West,Office Supplies,Pen,33.33,2,21.64
2022-10-31,Store D,Central,Electronics,Laptop,0.0,1,1534.55
2023-01-02,Store B,West,Office Supplies,Stapler,53.33,2,33.29
2023-05-08,Store B,West,Office Supplies,Pen,50.0,3,30.7
2022-07-04,Store B,West,Office Supplies,Paper,100.0,4,67.36
2022-06-06,Store D,Central,Furniture,Desk,3000.0,5,
2022-05-02,Store D,Central,Furniture,Table,2000.0,4,1371.5
2023-03-13,Store D,Central,Furniture,Chair,2500.0,5,
2022-03-28,Store A,East,Office Supplies,Paper,66.67,2,45.11
2023-02-13,Store A,East,Office Supplies,Folder,75.0,2,51.49
05/12/2022,Store A,East,Electronics,Mouse,300.0,2,185.68
21/03/2022,Store C,South,Office Supplies,Stapler,80.0,2,51.35
2022-08-29,  Store D  ,Central,Furniture ,Desk,2000.0,2,1232.78
2023-03-06,Store C,South,Furniture,Desk,3000.0,4,2007.76
2022-03-14,Store D,Central,Electronics,Monitor,1500.0,5,955.71
2022-09-05,Store C,South,Electronics,Laptop,5000.0,2,3182.06
2023-12-11,Store C,South,Office Supplies,Stapler,60.0,3,40.62
2022-07-11,Store A,East,Furniture,Table,2000.0,5,1298.99
2023-06-26,Store D,Central,Office Supplies,Folder,75.0,3,48.35
2022-05-16,Store D,Central,Electronics,Mouse,240.0,4,152.7
01/05/2023,Store D,Central,Office Supplies,Folder,75.0,5,46.41
2022-07-11,Store C,South,Electronics,Laptop,3333.33,2,2330.46
14/11/2022,Store B,West,Office Supplies,Stapler,40.0,1,27.6
2023-04-03,Store B,West,Furniture,Table,1500.0,3,909.74
2023-03-13,Store B,West,Electronics,Mouse,200.0,2,124.84
2022-08-29,Store B,West,Furniture,Desk,3000.0,3,1863.37
2023-01-02,Store B,West,Furniture,Table,1333.33,2,848.98
2023-01-09,Store B,West,Office Supplies,Folder,56.25,3,
20/03/2023,Store A,East,Furniture,Chair,1666.67,2,1112.58
07/08/2023,Store B,West,Electronics,Monitor,1125.0,3,706.92
2023-02-13,Store C,South,Furniture,Shelf,1200.0,3,731.73
2023-06-12,Store B,West,Electronics,Monitor,1500.0,3,947.95
2022-09-19,Store A,East,Electronics,Keyboard,400.0,3,279.14
2022-03-14,Store C,South,Office Supplies,Stapler,53.33,2,36.58
2022-12-19,Store B,West,Furniture,Shelf,960.0,4,585.07
2022-04-11,Store C,South,Furniture,Table,2000.0,4,1347.19
2022-02-28,Store B,West,Furniture,Chair,1875.0,3,1160.75
2023-06-19,Store A,East,Furniture,Shelf,900.0,3,554.38
2022-10-17,Store B,West,Office Supplies,Pen,50.0,5,33.11
2022-09-12,Store D,Central,Office Supplies,Folder,75.0,5,45.54
2022-04-18,Store B,West,Electronics,Mouse,300.0,5,180.07
2023-09-11,Store D,Central,Furniture,Chair,1250.0,1,866.78
2022-04-11,Store D,Central,Furniture,Table,1000.0,1,648.56
2022-12-05,Store D,Central,Electronics,Monitor,1125.0,3,779.82
2023-03-20,Store D,Central,Electronics,Monitor,1500.0,5,1041.31
2022-01-31,Store D,Central,Electronics,Mouse,300.0,3,180.68
2023-02-06,Store B,West,Furniture,Table,1000.0,1,656.42
2022-11-14,Store A,East,Electronics,Laptop,5000.0,3,3286.63
2023-11-20,Store B,West,Electronics,Laptop,4000.0,4,2791.64
2022-08-01,Store A,East,Office Supplies,Pen,50.0,3,31.75
2022-11-07,Store A,East,Electronics,Laptop,2500.0,1,1512.76
2022-09-12,Store A,East,Office Supplies,Folder,75.0,3,49.18
2023-12-04,Store D,Central,Electronics,Mouse,300.0,3,203.45
2023-03-20,Store B,West,Electronics,Keyboard,400.0,3,275.82
2023-11-06,Store D,Central,Furniture,Shelf,1200.0,3,789.71
2023-10-16,Store A,East,Furniture,Shelf,1200.0,5,795.93
2023-02-20,Store B,West,Electronics,Monitor,750.0,1,
2023-01-02,Store B,West,Electronics,Mouse,150.0,1,104.78
24/07/2023,Store B,West,Office Supplies,Pen,37.5,3,23.08
2023-08-21,Store C,South,Electronics,Laptop,5000.0,2,3333.64
2023-05-22,Store A,East,Furniture,Desk,3000.0,2,2087.55
2023-03-27,Store A,East,Office Supplies,Folder,75.0,4,
2023-12-25,Store B,West,Office Supplies,Stapler,80.0,5,48.4
2023-03-13,Store D,Central,Electronics,Mouse,240.0,4,161.16
2023-01-23,Store A,East,Electronics,Monitor,1500.0,5,972.91
2022-01-10,Store A,East,Electronics,Laptop,3333.33,2,2123.57
2023-04-24,Store A,East,Furniture,Chair,2000.0,4,1376.16
2023-05-15,Store C,South,Electronics,Mouse,300.0,3,190.02
2022-10-17,Store B,West,Office Supplies,Folder,75.0,4,50.77
2023-02-06,Store A,East,Furniture,Table,2000.0,4,1246.87
2022-01-24,Store A,East,Furniture,Table,2000.0,4,1275.98
2022-11-14,Store A,East,Electronics,Mouse,225.0,3,143.74
2023-09-11,Store D,Central,Office Supplies,Stapler,40.0,1,27.96
2022-11-28,Store D,Central,Office Supplies,Folder,56.25,3,38.13
2023-06-05,Store D,Central,Furniture,Shelf,600.0,1,399.67
2023-11-13,Store C,South,Electronics,Mouse,300.0,4,197.24
2022-05-09,Store B,West,Office Supplies,Folder,75.0,5,
2022-08-08,Store A,East,Office Supplies,Paper,100.0,4,68.75
2022-06-20,Store C,South,Office Supplies,Pen,50.0,5,32.54
2023-01-09,  Store B  ,West,Office Supplies ,Paper,100.0,2,66.37
2022-07-11,Store A,East,Office Supplies,Stapler,40.0,1,26.68
2022-04-18,Store A,East,Furniture,Shelf,1200.0,4,809.65
2023-05-01,Store D,Central,Furniture,Chair,1250.0,1,814.89
2023-10-02,Store B,West,Electronics,Laptop,3750.0,3,
2022-06-13,Store D,Central,Office Supplies,Folder,75.0,5,52.25
2023-01-09,Store C,South,Office Supplies,Paper,75.0,3,46.93
2022-08-08,Store A,East,Electronics,Laptop,5000.0,3,3449.94
2022-01-03,  Store B  ,West,Office Supplies ,Folder,75.0,3,47.94
2023-07-10,Store B,West,Furniture,Table,1600.0,4,1079.43
2022-05-16,Store A,East,Furniture,Desk,2400.0,4,1555.52
2023-07-03,Store A,East,Office Supplies,Paper,100.0,4,63.48
2022-09-12,Store A,East,Electronics,Monitor,750.0,1,516.56
2023-06-26,Store C,South,Electronics,Monitor,1500.0,2,1003.53
2022-03-21,Store C,South,Office Supplies,Pen,33.33,2,
2023-02-13,Store B,West,Electronics,Monitor,1200.0,4,755.19
2022-07-18,Store B,West,Furniture,Shelf,1200.0,3,833.72
2022-09-05,Store B,West,Furniture,Desk,3000.0,4,2098.03
2023-01-02,Store B,West,Furniture,Shelf,800.0,2,508.31
2022-12-19,Store D,Central,Electronics,Keyboard,200.0,1,139.94
2022-08-29,  Store D  ,Central,Furniture ,Shelf,800.0,2,552.48
2023-12-04,Store D,Central,Electronics,Mouse,240.0,4,165.24
2022-03-07,Store B,West,Office Supplies,Pen,40.0,4,24.87
2023-07-10,  Store C  ,South,Office Supplies ,Stapler,64.0,4,38.79
2023-11-06,Store D,Central,Office Supplies,Paper,100.0,4,66.92
2023-06-26,Store B,West,Furniture,Desk,3000.0,2,1994.59
2023-02-13,Store D,Central,Furniture,Table,0.0,2,922.58
2023-09-25,Store A,East,Office Supplies,Folder,75.0,3,50.27
2023-04-17,Store C,South,Furniture,Desk,2000.0,2,1251.42
07/11/2022,Store C,South,Furniture,Shelf,800.0,2,496.4
2023-12-25,Store C,South,Furniture,Desk,2400.0,4,1454.09
2023-07-24,Store A,East,Electronics,Keyboard,266.67,2,183.54
2022-12-26,Store C,South,Furniture,Table,2000.0,4,
2022-01-31,Store D,Central,Electronics,Keyboard,200.0,1,
2022-12-26,Store B,West,Furniture,Shelf,900.0,3,544.21
02/05/2022,Store C,South,Office Supplies,Paper,100.0,4,63.82
2023-03-27,Store B,West,Furniture,Chair,2500.0,3,1663.22
2023-03-06,Store B,West,Electronics,Laptop,2500.0,1,1594.44
2022-12-26,Store D,Central,Office Supplies,Folder,37.5,1,22.99
2022-01-10,Store A,East,Electronics,Keyboard,400.0,5,263.49
2022-01-17,Store B,West,Electronics,Monitor,1500.0,5,1015.75
2022-05-16,Store D,Central,Office Supplies,Folder,56.25,3,38.28
2023-09-04,Store B,West,Electronics,Keyboard,300.0,3,192.15
2022-04-04,Store C,South,Furniture,Table,1000.0,1,629.01
2023-02-20,Store B,West,Furniture,Shelf,600.0,1,372.32
2023-01-09,Store B,West,Furniture,Chair,1250.0,1,826.6
2022-07-11,Store A,East,Electronics,Laptop,5000.0,4,3465.55
2023-04-03,Store C,South,Electronics,Mouse,300.0,4,185.45
2023-11-27,Store D,Central,Electronics,Monitor,1500.0,2,967.75
2023-02-20,Store A,East,Electronics,Monitor,1500.0,2,909.83
2022-01-31,Store C,South,Electronics,Laptop,2500.0,1,1631.1
2023-03-06,Store D,Central,Office Supplies,Pen,37.5,3,23.0
2023-11-27,Store A,East,Office Supplies,Paper,100.0,4,61.01
2022-07-18,Store B,West,Office Supplies,Stapler,64.0,4,
2023-12-25,Store D,Central,Office Supplies,Folder,75.0,2,45.45
2022-02-28,Store B,West,Furniture,Desk,1500.0,1,
2022-07-25,Store C,South,Electronics,Monitor,750.0,1,458.37
2023-05-01,Store C,South,Office Supplies,Stapler,64.0,4,38.49
2022-03-14,Store D,Central,Office Supplies,Paper,50.0,1,34.94
2022-01-03,  Store B  ,West,Electronics ,Laptop,4000.0,4,2764.74
2022-05-30,Store A,East,Office Supplies,Folder,37.5,1,23.72
2023-11-20,Store C,South,Office Supplies,Folder,50.0,2,
2023-07-17,Store C,South,Office Supplies,Stapler,80.0,3,54.13
2022-01-03,Store A,East,Office Supplies,Stapler,53.33,2,
2022-06-27,Store B,West,Electronics,Laptop,3750.0,3,2292.89
2023-10-09,Store B,West,Office Supplies,Pen,50.0,3,
2022-06-13,Store D,Central,Office Supplies,Paper,50.0,1,30.76
2023-10-23,Store B,West,Furniture,Table,2000.0,3,1352.69
2023-06-12,Store D,Central,Electronics,Keyboard,266.67,2,175.67
2023-02-20,Store D,Central,Furniture,Chair,2500.0,4,1502.44
2022-05-16,Store C,South,Electronics,Monitor,1500.0,4,933.5
2022-12-19,Store A,East,Office Supplies,Stapler,53.33,2,35.77
2022-08-15,Store C,South,Electronics,Monitor,750.0,1,498.99
2022-05-30,Store B,West,Furniture,Desk,3000.0,4,2036.2
2022-01-17,Store C,South,Office Supplies,Folder,75.0,4,
2023-01-30,  Store D  ,Central,Electronics ,Laptop,3750.0,3,2573.5
2023-09-18,Store B,West,Furniture,Chair,2500.0,3,1516.45
2023-07-24,Store A,East,Office Supplies,Folder,75.0,2,45.03
26/09/2022,Store D,Central,Electronics,Monitor,1500.0,4,917.43
2022-11-14,Store D,Central,Electronics,Keyboard,400.0,3,279.24
2022-10-31,Store A,East,Office Supplies,Stapler,53.33,2,36.86
2023-03-06,Store D,Central,Office Supplies,Folder,75.0,2,48.59
2023-12-04,Store C,South,Furniture,Desk,2400.0,4,
2022-03-21,Store C,South,Office Supplies,Pen,33.33,2,
2022-01-31,Store D,Central,Electronics,Keyboard,400.0,3,273.31
2022-10-17,Store B,West,Electronics,Keyboard,400.0,2,
2023-03-06,Store D,Central,Furniture,Table,1000.0,1,676.71
2022-05-30,Store A,East,Office Supplies,Pen,50.0,5,32.06
2023-03-20,Store C,South,Furniture,Chair,1875.0,3,1287.86
2023-10-16,Store B,West,Furniture,Desk,2000.0,2,
2023-07-31,Store C,South,Electronics,Keyboard,400.0,0,
2023-04-03,Store C,South,Furniture,Table,1600.0,4,1062.44
2022-09-26,Store B,West,Electronics,Mouse,300.0,4,185.98
2022-11-28,  Store B  ,West,Electronics ,Monitor,1000.0,2,640.39
2022-02-14,Store A,East,Office Supplies,Folder,75.0,4,
2023-06-05,Store D,Central,Office Supplies,Folder,50.0,2,32.81
2023-06-26,Store D,Central,Electronics,Keyboard,400.0,2,250.58
2022-06-27,Store B,West,Electronics,Laptop,5000.0,2,3373.85
2022-12-12,Store C,South,Furniture,Shelf,1200.0,4,720.87
2022-02-28,  Store C  ,South,Electronics ,Mouse,300.0,5,181.83
2023-12-25,Store D,Central,Electronics,Monitor,1125.0,3,752.39
2023-01-16,Store B,West,Office Supplies,Folder,75.0,2,48.64
2022-04-11,Store B,West,Electronics,Keyboard,400.0,3,245.9
2022-12-12,Store B,West,Office Supplies,Pen,25.0,1,15.76
2023-07-17,Store D,Central,Furniture,Table,2000.0,5,1258.07
2022-08-01,Store B,West,Electronics,Mouse,200.0,2,
2023-06-26,Store C,South,Furniture,Chair,1875.0,3,
2023-04-24,Store D,Central,Furniture,Shelf,600.0,1,365.83
2023-12-11,Store B,West,Furniture,Table,2000.0,5,1218.67
19/12/2022,Store D,Central,Electronics,Keyboard,266.67,2,168.44
2022-03-07,Store D,Central,Office Supplies,Paper,100.0,5,64.98
2023-09-04,Store D,Central,Office Supplies,Folder,75.0,3,52.02
2022-08-15,Store D,Central,Office Supplies,Paper,100.0,5,62.53
2022-12-05,Store D,Central,Office Supplies,Stapler,80.0,3,55.66
2022-03-28,Store A,East,Furniture,Shelf,1200.0,3,736.33
2023-07-31,Store B,West,Office Supplies,Folder,75.0,4,49.57
2023-03-27,Store A,East,Electronics,Mouse,150.0,1,98.07
2023-08-21,Store A,East,Office Supplies,Stapler,80.0,4,54.37
2022-10-03,Store B,West,Electronics,Keyboard,266.67,2,185.08
20/11/2023,Store C,South,Office Supplies,Paper,100.0,5,65.51
2022-07-11,Store D,Central,Electronics,Mouse,240.0,4,147.09
2023-12-25,  Store C  ,South,Furniture ,Table,1333.33,2,895.14
